IDKhachHang,IDSanPham,Rating
e0b7fb18-3f29-4f46-81db-722f953849d9,fa7ce944-0858-47ec-8f1e-f70ff5523a5b,7
e0743e82-2633-4fbd-bbca-ee04abd2d9b0,94a1b774-1285-484a-97c5-5e7de786527c,3
457cf741-d045-425f-a318-4daea5249b38,14410858-b470-4ce6-86ff-7cc5d1bb460c,9
828ed99e-44fc-4c4f-824f-2507063b47cb,33e7b7da-5bcb-4aec-bf80-f4453118d26e,5
15804d26-b2a9-45ed-981e-886632401450,07839b6e-0039-4874-94a7-0442a17f8263,1
e0b7fb18-3f29-4f46-81db-722f953849d9,ac9466ef-951f-4dd3-b2f7-1e22849c2a3d,5
e0b7fb18-3f29-4f46-81db-722f953849d9,72289546-4161-4817-a4eb-0198de4f1162,6
e0743e82-2633-4fbd-bbca-ee04abd2d9b0,a10c4072-c790-45c7-8166-3f6258f17edd,6
e0743e82-2633-4fbd-bbca-ee04abd2d9b0,55191266-0a57-4f27-a337-22a69fc5e80a,2
ada1aae0-2e89-4d58-adba-85c19fe42e33,5023be57-3b6e-438a-8395-cc76330e9daf,7
c92aba10-ff07-4687-a8cc-84fa1a35201f,d76f90bc-cce2-4e3d-ad5f-8f496c6b13af,2
84c2c6bc-837f-4688-a7c4-c389764e1893,02f3a434-d99e-4658-9343-fbe128650670,1
ada1aae0-2e89-4d58-adba-85c19fe42e33,c59ab3a8-eef3-46c6-b38c-3451f502ee84,5
ada1aae0-2e89-4d58-adba-85c19fe42e33,5023be57-3b6e-438a-8395-cc76330e9daf,3
15804d26-b2a9-45ed-981e-886632401450,ada479bd-101c-4386-bbc9-56c419f088d5,6
cec93e1d-c726-4237-a0dc-fd6c9776a590,e19d6988-6235-4351-ae13-7d7920e097fb,2
84c2c6bc-837f-4688-a7c4-c389764e1893,b042dbd5-57f5-45ba-901d-634da70cb7b2,1
09aacb5c-8f49-447e-8cfc-39ab530ce22c,16a187a5-5735-44b7-81fb-4655a5ac4018,4
15804d26-b2a9-45ed-981e-886632401450,203483ff-bc58-4825-8a9f-56311ff3a2e2,1
84c2c6bc-837f-4688-a7c4-c389764e1893,4f66225d-fc20-4929-8556-01755927cf9a,9
af30f3e8-0fe8-494c-91d4-0defbb295646,8e023862-6d6e-41f5-9ba0-204f5103eb2a,9
457cf741-d045-425f-a318-4daea5249b38,797679dd-af48-404e-96e4-164413696b79,1
dc09f89b-4a54-4886-8928-b1456a820351,b5157463-f044-476e-9e0b-6237e722980d,8
457cf741-d045-425f-a318-4daea5249b38,c60583c9-9242-4925-81dd-af593ba112db,6
7f4ffa94-aea7-449c-a7b1-98722d42ebeb,c27e0739-6e7d-486b-9924-fb232ad5c787,6
64fccc06-80c9-40b9-bb7b-b37f6993b222,04de64fb-5e5a-412f-b669-3e56358f53f4,5
7f4ffa94-aea7-449c-a7b1-98722d42ebeb,b9e4aa38-e219-43ac-a0b2-df3112b509bb,2
a453c643-32c0-4a5d-870b-094089fcd486,e03f9e8e-7319-4eee-b668-cd127096cb20,9
6dfc68af-9e90-4082-b9eb-1cb983e7338a,0d260ef5-82ef-41aa-9dc3-0d85799c3836,2
6dfc68af-9e90-4082-b9eb-1cb983e7338a,76890f9a-2756-4a55-8530-90d2f61acbe8,2
84c2c6bc-837f-4688-a7c4-c389764e1893,46d4d0c3-8d1c-4018-9009-aadba742c825,1
ada1aae0-2e89-4d58-adba-85c19fe42e33,eed94e47-4cab-4caf-bda2-999163a41de4,6
e4f3f0bd-8c70-4780-b5b5-825c224562d6,95fffa61-979d-455c-938a-5a0d653a1fcd,3
c92aba10-ff07-4687-a8cc-84fa1a35201f,24877bf7-480d-4cc1-aefa-18c9c3738e61,7
ada1aae0-2e89-4d58-adba-85c19fe42e33,703f5f44-247f-4a8c-bac8-7c19130a615a,8
dc09f89b-4a54-4886-8928-b1456a820351,55191266-0a57-4f27-a337-22a69fc5e80a,6
15804d26-b2a9-45ed-981e-886632401450,59dc8d72-275f-40e3-92d0-dfbffba7f19c,7
64fccc06-80c9-40b9-bb7b-b37f6993b222,943ce432-283b-45cf-a88c-a4ba468c42d2,4
15804d26-b2a9-45ed-981e-886632401450,e06e9c7a-e1b6-4aff-a9ac-61a0c5b80f78,5
e0b7fb18-3f29-4f46-81db-722f953849d9,5cf6c6f6-d5f4-4d2c-9425-75d9043f4796,2
64fccc06-80c9-40b9-bb7b-b37f6993b222,a652428c-827b-4810-920a-74f43b7eacc6,9
dc09f89b-4a54-4886-8928-b1456a820351,4ce78636-4214-4054-a8f1-d0ef620d5658,5
dc09f89b-4a54-4886-8928-b1456a820351,b5157463-f044-476e-9e0b-6237e722980d,2
cec93e1d-c726-4237-a0dc-fd6c9776a590,b677e898-042b-4ea5-aff9-4098ca0c313c,5
